destination_id,user_id,start_date,end_date,cost,city_id
0,0,2022-03-15,2022-03-20,3000,0
0,1,2022-03-15,2022-03-20,3000,0
0,2,2022-03-15,2022-03-20,3000,0
0,0,2022-03-15,2022-03-20,3000,1
0,1,2022-03-15,2022-03-20,3000,1
0,2,2022-03-15,2022-03-20,3000,1
0,0,2022-03-15,2022-03-20,3000,17
0,1,2022-03-15,2022-03-20,3000,17
0,2,2022-03-15,2022-03-20,3000,17
0,0,2022-03-15,2022-03-20,3000,5
0,1,2022-03-15,2022-03-20,3000,5
0,2,2022-03-15,2022-03-20,3000,5
0,0,2022-03-15,2022-03-20,3000,2
0,1,2022-03-15,2022-03-20,3000,2
0,2,2022-03-15,2022-03-20,3000,2
0,0,2022-03-15,2022-03-20,3000,13
0,1,2022-03-15,2022-03-20,3000,13
0,2,2022-03-15,2022-03-20,3000,13
0,0,2022-03-15,2022-03-20,3000,3
0,1,2022-03-15,2022-03-20,3000,3
0,2,2022-03-15,2022-03-20,3000,3
0,3,2022-10-10,2022-10-15,2000,0
0,4,2022-10-10,2022-10-15,2000,0
0,5,2022-10-10,2022-10-15,2000,0
0,3,2022-10-10,2022-10-15,2000,17
0,4,2022-10-10,2022-10-15,2000,17
0,5,2022-10-10,2022-10-15,2000,17
0,3,2022-10-10,2022-10-15,2000,14
0,4,2022-10-10,2022-10-15,2000,14
0,5,2022-10-10,2022-10-15,2000,14
0,3,2022-10-10,2022-10-15,2000,5
0,4,2022-10-10,2022-10-15,2000,5
0,5,2022-10-10,2022-10-15,2000,5
0,3,2022-10-10,2022-10-15,2000,2
0,4,2022-10-10,2022-10-15,2000,2
0,5,2022-10-10,2022-10-15,2000,2
0,3,2022-10-10,2022-10-15,2000,1
0,4,2022-10-10,2022-10-15,2000,1
0,5,2022-10-10,2022-10-15,2000,1
0,3,2022-10-10,2022-10-15,2000,3
0,4,2022-10-10,2022-10-15,2000,3
0,5,2022-10-10,2022-10-15,2000,3
0,3,2022-10-10,2022-10-15,2000,33
0,4,2022-10-10,2022-10-15,2000,33
0,5,2022-10-10,2022-10-15,2000,33
0,3,2022-10-10,2022-10-15,2000,4
0,4,2022-10-10,2022-10-15,2000,4
0,5,2022-10-10,2022-10-15,2000,4
0,3,2022-10-10,2022-10-15,2000,13
0,4,2022-10-10,2022-10-15,2000,13
0,5,2022-10-10,2022-10-15,2000,13
1,0,2022-02-01,2022-02-06,1500,1
1,1,2022-02-01,2022-02-06,1500,1
1,2,2022-02-01,2022-02-06,1500,1
1,0,2022-02-01,2022-02-06,1500,0
1,1,2022-02-01,2022-02-06,1500,0
1,2,2022-02-01,2022-02-06,1500,0
1,3,2022-05-01,2022-05-06,2800,1
1,4,2022-05-01,2022-05-06,2800,1
1,5,2022-05-01,2022-05-06,2800,1
1,3,2022-05-01,2022-05-06,2800,0
1,4,2022-05-01,2022-05-06,2800,0
1,5,2022-05-01,2022-05-06,2800,0
1,3,2022-05-01,2022-05-06,2800,4
1,4,2022-05-01,2022-05-06,2800,4
1,5,2022-05-01,2022-05-06,2800,4
2,0,2022-01-05,2022-01-10,2000,2
2,3,2022-01-05,2022-01-10,2000,2
2,0,2022-01-05,2022-01-10,2000,5
2,3,2022-01-05,2022-01-10,2000,5
2,0,2022-01-05,2022-01-10,2000,15
2,3,2022-01-05,2022-01-10,2000,15
2,0,2022-01-05,2022-01-10,2000,17
2,3,2022-01-05,2022-01-10,2000,17
2,0,2022-01-05,2022-01-10,2000,4
2,3,2022-01-05,2022-01-10,2000,4
2,0,2022-01-05,2022-01-10,2000,1
2,3,2022-01-05,2022-01-10,2000,1
2,1,2022-08-01,2022-08-06,2400,2
2,2,2022-08-01,2022-08-06,2400,2
2,1,2022-08-01,2022-08-06,2400,17
2,2,2022-08-01,2022-08-06,2400,17
2,1,2022-08-01,2022-08-06,2400,13
2,2,2022-08-01,2022-08-06,2400,13
2,1,2022-08-01,2022-08-06,2400,1
2,2,2022-08-01,2022-08-06,2400,1
2,1,2022-08-01,2022-08-06,2400,4
2,2,2022-08-01,2022-08-06,2400,4
2,1,2022-08-01,2022-08-06,2400,0
2,2,2022-08-01,2022-08-06,2400,0
2,1,2022-08-01,2022-08-06,2400,3
2,2,2022-08-01,2022-08-06,2400,3
2,1,2022-08-01,2022-08-06,2400,5
2,2,2022-08-01,2022-08-06,2400,5
2,1,2022-08-01,2022-08-06,2400,15
2,2,2022-08-01,2022-08-06,2400,15
3,3,2022-02-01,2022-02-06,1800,3
3,4,2022-02-01,2022-02-06,1800,3
3,5,2022-02-01,2022-02-06,1800,3
3,3,2022-02-01,2022-02-06,1800,2
3,4,2022-02-01,2022-02-06,1800,2
3,5,2022-02-01,2022-02-06,1800,2
3,3,2022-02-01,2022-02-06,1800,13
3,4,2022-02-01,2022-02-06,1800,13
3,5,2022-02-01,2022-02-06,1800,13
3,3,2022-02-01,2022-02-06,1800,33
3,4,2022-02-01,2022-02-06,1800,33
3,5,2022-02-01,2022-02-06,1800,33
3,3,2022-02-01,2022-02-06,1800,12
3,4,2022-02-01,2022-02-06,1800,12
3,5,2022-02-01,2022-02-06,1800,12
3,3,2022-02-01,2022-02-06,1800,31
3,4,2022-02-01,2022-02-06,1800,31
3,5,2022-02-01,2022-02-06,1800,31
3,3,2022-02-01,2022-02-06,1800,15
3,4,2022-02-01,2022-02-06,1800,15
3,5,2022-02-01,2022-02-06,1800,15
3,3,2022-02-01,2022-02-06,1800,1
3,4,2022-02-01,2022-02-06,1800,1
3,5,2022-02-01,2022-02-06,1800,1
3,3,2022-02-01,2022-02-06,1800,4
3,4,2022-02-01,2022-02-06,1800,4
3,5,2022-02-01,2022-02-06,1800,4
3,3,2022-02-01,2022-02-06,1800,0
3,4,2022-02-01,2022-02-06,1800,0
3,5,2022-02-01,2022-02-06,1800,0
3,3,2022-02-01,2022-02-06,1800,35
3,4,2022-02-01,2022-02-06,1800,35
3,5,2022-02-01,2022-02-06,1800,35
3,3,2022-02-01,2022-02-06,1800,5
3,4,2022-02-01,2022-02-06,1800,5
3,5,2022-02-01,2022-02-06,1800,5
3,0,2023-02-01,2023-02-06,2100,3
3,1,2023-02-01,2023-02-06,2100,3
3,2,2023-02-01,2023-02-06,2100,3
4,3,2022-03-15,2022-03-20,2500,4
4,4,2022-03-15,2022-03-20,2500,4
4,5,2022-03-15,2022-03-20,2500,4
4,3,2022-03-15,2022-03-20,2500,17
4,4,2022-03-15,2022-03-20,2500,17
4,5,2022-03-15,2022-03-20,2500,17
4,3,2022-03-15,2022-03-20,2500,12
4,4,2022-03-15,2022-03-20,2500,12
4,5,2022-03-15,2022-03-20,2500,12
4,3,2022-03-15,2022-03-20,2500,13
4,4,2022-03-15,2022-03-20,2500,13
4,5,2022-03-15,2022-03-20,2500,13
4,3,2022-03-15,2022-03-20,2500,15
4,4,2022-03-15,2022-03-20,2500,15
4,5,2022-03-15,2022-03-20,2500,15
4,3,2022-03-15,2022-03-20,2500,3
4,4,2022-03-15,2022-03-20,2500,3
4,5,2022-03-15,2022-03-20,2500,3
4,3,2022-03-15,2022-03-20,2500,1
4,4,2022-03-15,2022-03-20,2500,1
4,5,2022-03-15,2022-03-20,2500,1
4,3,2022-03-15,2022-03-20,2500,14
4,4,2022-03-15,2022-03-20,2500,14
4,5,2022-03-15,2022-03-20,2500,14
4,3,2022-03-15,2022-03-20,2500,5
4,4,2022-03-15,2022-03-20,2500,5
4,5,2022-03-15,2022-03-20,2500,5
4,0,2022-09-15,2022-09-20,2800,4
4,1,2022-09-15,2022-09-20,2800,4
4,2,2022-09-15,2022-09-20,2800,4
5,1,2022-01-05,2022-01-10,2500,5
5,4,2022-01-05,2022-01-10,2500,5
5,0,2022-05-01,2022-05-06,2200,5
5,2,2022-05-01,2022-05-06,2200,5
5,0,2022-05-01,2022-05-06,2200,4
5,2,2022-05-01,2022-05-06,2200,4
6,3,2022-04-10,2022-04-15,1800,6
6,4,2022-04-10,2022-04-15,1800,6
6,5,2022-04-10,2022-04-15,1800,6
6,3,2022-04-10,2022-04-15,1800,8
6,4,2022-04-10,2022-04-15,1800,8
6,5,2022-04-10,2022-04-15,1800,8
6,3,2022-04-10,2022-04-15,1800,7
6,4,2022-04-10,2022-04-15,1800,7
6,5,2022-04-10,2022-04-15,1800,7
6,3,2022-04-10,2022-04-15,1800,10
6,4,2022-04-10,2022-04-15,1800,10
6,5,2022-04-10,2022-04-15,1800,10
6,3,2022-04-10,2022-04-15,1800,11
6,4,2022-04-10,2022-04-15,1800,11
6,5,2022-04-10,2022-04-15,1800,11
7,0,2022-06-20,2022-06-25,3200,7
